"id","player","pos","sOHL","season","DY+/-","gp","evtp","pptp","tp","ev.ppg","pp.ppg","ppg","eTOI/GP","DOB","age.group"
20576,"brett-maclean","F",4,2008,"DY+1",61,59,54,119,0.967,0.885,1.951,20.01,1988-12-24,"late"
20320,"luca-caputi","F",4,2008,"DY+1",66,71,33,111,1.076,0.5,1.682,20.43,1988-10-01,"late"
22665,"steven-stamkos","F",2,2008,"DY",61,51,46,105,0.836,0.754,1.721,17.33,1990-02-07,"early"
24023,"john-tavares","F",2,2008,"DY-1",59,55,52,118,0.932,0.881,2,20.78,1990-09-20,"late"
19214,"dustin-jeffrey","F",4,2008,"DY+2",56,38,48,97,0.679,0.857,1.732,17.1,1988-02-27,"early"
19445,"justin-azevedo","F",4,2008,"DY+2",67,49,74,124,0.731,1.104,1.851,20.03,1988-04-01,"early"
20162,"justin-dibenedetto","F",4,2008,"DY+2",58,42,43,93,0.724,0.741,1.603,16.92,1988-08-25,"early"
19589,"patrick-maroon","F",4,2008,"DY+2",64,53,37,90,0.828,0.578,1.406,16.59,1988-04-23,"early"
19158,"shawn-matthias","F",4,2008,"DY+2",53,38,35,79,0.717,0.66,1.491,17.89,1988-02-19,"early"
18882,"ryan-mcdonough","F",4,2008,"DY+2",66,52,37,89,0.788,0.561,1.349,15.58,1988-01-02,"early"
19822,"matt-beleskey","F",4,2008,"DY+2",62,55,30,90,0.887,0.484,1.452,17.86,1988-06-07,"early"
22113,"josh-bailey","F",3,2008,"DY",67,53,43,96,0.791,0.642,1.433,16.62,1989-10-02,"late"
20498,"stefan-legein","F",4,2008,"DY+1",30,21,11,37,0.7,0.367,1.233,17.5,1988-11-24,"late"
17774,"michael-swift","F",5,2008,"DY+3",68,55,35,100,0.809,0.515,1.471,19.8,1987-03-26,"early"
21235,"chris-terry","F",3,2008,"DY+1",68,53,42,101,0.779,0.618,1.485,18.86,1989-04-07,"early"
23625,"eric-o-dell","F",2,2008,"DY",26,21,11,32,0.808,0.423,1.231,14.89,1990-06-21,"early"
20168,"wayne-simmonds","F",4,2008,"DY+2",60,38,35,75,0.633,0.583,1.25,17.24,1988-08-26,"early"
18913,"john-hughes","F",4,2008,"DY+2",68,47,44,91,0.691,0.647,1.338,18.15,1988-01-06,"early"
18271,"patrick-asselin","F",5,2008,"DY+3",63,42,35,78,0.667,0.556,1.238,16.41,1987-07-02,"early"
26143,"taylor-hall","F",1,2008,"DY-2",63,64,20,84,1.016,0.317,1.333,16.57,1991-11-14,"late"
19012,"jack-combs","F",4,2008,"DY+2",67,55,43,100,0.821,0.642,1.492,16.63,1988-01-26,"early"
20270,"nick-spaling","F",4,2008,"DY+1",56,30,42,72,0.536,0.75,1.286,19.51,1988-09-19,"late"
20969,"bryan-cameron","F",3,2008,"DY+1",68,42,35,78,0.618,0.515,1.147,14.96,1989-02-25,"early"
19897,"justin-hodgman","F",4,2008,"DY+2",64,41,32,80,0.641,0.5,1.25,16.22,1988-06-27,"early"
17836,"brad-snetsinger","F",5,2008,"DY+3",68,43,44,89,0.632,0.647,1.309,16.4,1987-04-08,"early"
22756,"cody-hodgson","F",2,2008,"DY",68,39,43,85,0.574,0.632,1.25,17.45,1990-02-18,"early"
18622,"vladimir-nikiforov","F",5,2008,"DY+2",51,37,30,67,0.725,0.588,1.314,18.43,1987-10-07,"late"
20088,"jamie-mcginn","F",4,2008,"DY+2",51,33,21,58,0.647,0.412,1.137,17.48,1988-08-05,"early"
18716,"andrew-fournier","F",5,2008,"DY+2",64,33,40,75,0.516,0.625,1.172,18.47,1987-11-05,"late"
21168,"logan-couture","F",3,2008,"DY+1",51,39,17,58,0.765,0.333,1.137,17.23,1989-03-28,"early"
22354,"mikkel-bodker","F",3,2008,"DY",62,26,46,73,0.419,0.742,1.177,17.82,1989-12-16,"late"
19224,"bobby-sanguinetti","D",4,2008,"DY+2",61,29,40,70,0.475,0.656,1.147,25.35,1988-02-29,"early"
17328,"adam-perry","F",5,2008,"DY+3",68,53,27,80,0.779,0.397,1.177,17.35,1987-01-12,"early"
17765,"jadran-beljo","F",5,2008,"DY+3",53,30,27,62,0.566,0.509,1.17,15.33,1987-03-25,"early"
22411,"nathan-moon","F",2,2008,"DY",68,42,30,77,0.618,0.441,1.132,18.38,1990-01-04,"early"
20128,"brandon-buck","F",4,2008,"DY+2",59,35,22,60,0.593,0.373,1.017,16.28,1988-08-16,"early"
19718,"kaspars-daugavins","F",4,2008,"DY+2",62,43,28,74,0.694,0.452,1.194,19.39,1988-05-18,"early"
19789,"matt-halischuk","F",4,2008,"DY+2",40,22,36,59,0.55,0.9,1.475,18.4,1988-06-01,"early"
20126,"matt-caria","F",4,2008,"DY+2",46,26,24,53,0.565,0.522,1.152,17.24,1988-08-16,"early"
23541,"greg-nemisz","F",2,2008,"DY",68,38,28,67,0.559,0.412,0.985,14.23,1990-06-06,"early"
21603,"zack-torquato","F",3,2008,"DY+1",66,38,22,67,0.576,0.333,1.015,17.16,1989-06-08,"early"
21747,"chris-mackinnon","F",3,2008,"DY+1",64,33,32,65,0.516,0.5,1.016,17.18,1989-07-07,"early"
20799,"brett-parnham","F",3,2008,"DY+1",68,44,20,66,0.647,0.294,0.971,15.49,1989-01-30,"early"
19792,"cory-emmerton","F",4,2008,"DY+2",54,30,30,61,0.556,0.556,1.13,21.64,1988-06-01,"early"
18299,"mike-duco","F",5,2008,"DY+3",62,40,10,54,0.645,0.161,0.871,15.35,1987-07-08,"early"
20456,"matt-kang","F",4,2008,"DY+1",66,43,23,66,0.652,0.348,1,17.58,1988-11-09,"late"
19669,"devin-didiomete","F",4,2008,"DY+2",56,26,29,56,0.464,0.518,1,15.44,1988-05-09,"early"
18750,"tomas-zaborsky","F",5,2008,"DY+2",68,40,28,70,0.588,0.412,1.029,14.98,1987-11-14,"late"
24084,"nazem-kadri","F",2,2008,"DY-1",68,39,25,65,0.574,0.368,0.956,15.8,1990-10-06,"late"
